time,p:1,q :1,timeStamp
0.619,1277102.917,-1279479.25,
0.62,1273304.548,-1276732.481,
0.621,1269780.894,-1273973.033,
0.622,1266513.621,-1271108.472,
0.623,1263448.957,-1268062.378,
0.624,1260505.677,-1264784.046,
0.625,1257586.503,-1261254.572,
0.626,1254591.351,-1257488.605,
0.627,1251430.626,-1253531.634,
0.628,1248036.807,-1249453.288,
0.629,1244372.849,-1245337.604,
0.63,1240436.349,-1241271.639,
0.631,1236259.058,-1237333.945,
0.632,1231901.885,-1233584.447,
0.633,1227446.196,-1230057.006,
0.634,1222982.605,-1226755.599,
0.635,1218598.839,-1223654.52,
0.636,1214368.263,-1220702.485,
0.637,1210340.583,-1217830.013,
0.638,1206535.9,-1214959.025,
0.639,1202942.8,-1212013.344,
0.64,1199520.66,-1208928.704,
0.641,1196205.741,-1205660.941,
0.642,1192920.187,-1202191.354,
0.643,1189582.659,-1198528.575,
0.644,1186119.183,-1194706.802,
0.645,1182472.752,-1190780.704,
0.646,1178610.464,-1186817.75,
0.647,1174527.304,-1182889.036,
0.648,1170246.162,-1179059.855,
0.649,1165814.167,-1175381.248,
0.65,1161295.914,-1171883.639,
0.651,1156764.552,-1168573.332,
0.652,1152291.963,-1165432.272,
0.653,1147939.347,-1162421.014,
0.654,1143749.436,-1159484.443,
0.655,1139741.344,-1156559.418,
0.656,1135908.653,-1153583.294,
0.657,1132220.904,-1150502.176,
0.658,1128628.236,-1147277.82,
0.659,1125068.461,-1143892.319,
0.66,1121475.598,-1140349.985,
0.661,1117788.696,-1136676.274,
0.662,1113959.783,-1132913.944,
0.663,1109959.912,-1129117.028,
0.664,1105782.544,-1125343.464,
0.665,1101443.904,-1121647.389,
0.666,1096980.316,-1118072.112,
0.667,1092442.964,-1114644.682,
0.668,1087890.811,-1111372.73,
0.669,1083382.666,-1108243.935,
0.67,1078969.471,-1105228.137,
0.671,1074687.803,-1102281.744,
0.672,1070555.432,-1099353.807,
0.673,1066569.473,-1096392.919,
0.674,1062707.296,-1093354.006,
0.675,1058930.024,-1090204.124,
0.676,1055188.092,-1086926.529,
0.677,1051428.069,-1083522.501,
0.678,1047599.84,-1080010.766,
0.679,1043663.161,-1076424.627,
0.68,1039592.764,-1072807.241,
0.681,1035381.357,-1069205.719,
0.682,1031040.186,-1065664.834,
0.683,1026597.135,-1062221.201,
0.684,1022092.676,-1058898.653,
0.685,1017574.266,-1055705.423,
0.686,1013089.947,-1052633.441,
0.687,1008682.037,-1049659.797,
0.688,1004381.717,-1046750.119,
0.689,1000205.228,-1043863.388,
0.69,996152.1236,-1040957.506,
0.691,992205.7705,-1037994.877,
0.692,988335.9672,-1034947.261,
0.693,984503.2919,-1031799.282,
0.694,980664.5587,-1028550.159,
0.695,976778.6389,-1025213.469,
0.696,972811.8685,-1021815.03,
0.697,968742.3413,-1018389.22,
0.698,964562.5463,-1014974.253,
0.699,960280.0433,-1011607.07,
0.7,955916.1345,-1008318.512,
0.701,951495.1832,-1005127.957,
0.702,947047.8925,-1002042.806,
0.703,942613.8757,-999058.788,
0.704,938228.871,-996159.1186,
0.705,933920.1609,-993317.0246,
0.706,929703.2164,-990499.5192,
