TimeStamp,wSpeed100,,,,w250,w300,w350,w400
68.25,10.54,,,,,,,
68.2501,11.55,,,,,,,
68.5,11.54,,,,,,,
68.501,11.06,,,,,,,
68.75,11.44,,,,,,,
68.7501,11.48,,,,,,,
69,11.41,,,,,,,
69.01,11.5,,,,,,,
69.25,11.36,,,,,,,
69.2501,11.78,,,,,,,
69.5,11.75,,,,,,,
69.501,12.42,,,,,,,
69.75,12.96,,,,,,,
69.7501,10.17,,,,,,,
70,9.36,,,,,,,
70.01,9.94,,,,,,,
70.25,10.17,,,,,,,
70.2501,9.88,,,,,,,
70.5,9.08,,,,,,,
70.501,8.39,,,,,,,
70.75,7.95,,,,,,,
70.7501,7.66,,,,,,,
71,7.9,,,,,,,
71.01,8.82,,,,,,,
71.25,10.65,,,,,,,
71.2501,11.25,,,,,,,
71.5,11.16,,,,,,,
71.501,10.23,,,,,,,
71.75,9.33,,,,,,,
71.7501,9.77,,,,,,,
72,9.93,,,,,,,
72.01,9.82,,,,,,,
72.25,9.7,,,,,,,
72.2501,9.77,,,,,,,
72.5,9.79,,,,,,,
72.501,9.98,,,,,,,
72.75,9.94,,,,,,,
72.7501,7.37,,,,,,,
73,6.86,,,,,,,
73.01,6.58,,,,,,,
73.25,6.41,,,,,,,
73.2501,6.22,,,,,,,
73.5,5.66,,,,,,,
73.501,5.2,,,,,,,
73.75,4.83,,,,,,,
73.7501,5.25,,,,,,,
74,6.2,,,,,,,
74.01,7.33,,,,,,,
74.25,8.59,,,,,,,
74.2501,8.8,,,,,,,
74.5,8.74,,,,,,,
74.501,8.69,,,,,,,
74.75,8.71,,,,,,,
74.7501,8.57,,,,,,,
75,8.25,,,,,,,
75.01,7.63,,,,,,,
75.25,7.16,,,,,,,
