time,p:1,q :1,timeStamp
0.627,746117.2497,-734503.3422,
0.628,745865.7476,-732294.0699,
0.629,745362.7261,-730044.0992,
0.63,744606.2969,-727844.4813,
0.631,743628.784,-725778.2417,
0.632,742491.6332,-723909.6233,
0.633,741276.605,-722276.0648,
0.634,740074.5018,-720883.9068,
0.635,738972.9764,-719708.3013,
0.636,738045.0512,-718697.2364,
0.637,737339.8456,-717779.0463,
0.638,736876.6806,-716872.3324,
0.639,736643.256,-715896.929,
0.64,736598.0415,-714784.4439,
0.641,736676.4651,-713486.9917,
0.642,736799.99,-711983.0143,
0.643,736886.8119,-710279.4888,
0.644,736862.7289,-708410.3201,
0.645,736670.744,-706431.2208,
0.646,736278.1664,-704411.8385,
0.647,735680.3343,-702426.235,
0.648,734900.5516,-700543.0118,
0.649,733986.3375,-698816.3941,
0.65,733002.574,-697279.4235,
0.651,732022.5292,-695940.1093,
0.652,731117.9937,-694780.9722,
0.653,730349.8491,-693761.9607,
0.654,729760.306,-692826.2743,
0.655,729367.791,-691908.2544,
0.656,729165.0948,-690942.2545,
0.657,729120.9464,-689871.2949,
0.658,729184.7214,-688654.3667,
0.659,729293.5889,-687271.4536,
0.66,729381.0944,-685725.6654,
0.661,729386.0127,-684042.2686,
0.662,729260.2953,-682264.8213,
0.663,728975.0887,-680448.9865,
0.664,728524.0739,-678654.8989,
0.665,727923.754,-676939.1253,
0.666,727210.7244,-675347.2896,
0.667,726436.3595,-673908.3173,
0.668,725659.6797,-672631.0216,
0.669,724939.3828,-671503.4227,
0.67,724326.1105,-670494.8272,
0.671,723855.9664,-669560.3234,
0.672,723546.107,-668647.0452,
0.673,723392.9391,-667701.3333,
0.674,723373.0969,-666675.8285,
0.675,723447.0035,-665535.5644,
0.676,723564.4828,-664262.2782,
0.677,723671.634,-662856.4156,
0.678,723718.03,-661336.6197,
0.679,723663.2829,-659736.8328,
0.68,723482.1264,-658101.45,
0.681,723167.3807,-656479.2111,
0.682,722730.4599,-654916.6669,
0.683,722199.415,-653452.0907,
0.684,721614.8308,-652110.6284,
0.685,721024.1684,-650901.2972,
0.686,720475.339,-649816.182,
0.687,720010.3734,-648831.8859,
0.688,719660.0211,-647912.9866,
0.689,719439.968,-647016.9951,
0.69,719349.1319,-646100.1284,
0.691,719370.2115,-645123.1119,
0.692,719472.36,-644056.2495,
0.693,719615.581,-642883.1067,
0.694,719756.2235,-641602.3573,
0.695,719852.8266,-640227.5923,
0.696,719871.5319,-638785.1666,
0.697,719790.3638,-637310.4139,
0.698,719601.8373,-635842.7686,
0.699,719313.5924,-634420.465,
0.7,718947.0178,-633075.5212,
0.701,718533.2633,-631829.5623,
0.702,718109.6177,-630691.3574,
0.703,717715.1767,-629656.0293,
0.704,717384.8279,-628705.8955,
0.705,717144.75,-627813.107,
0.706,717009.1712,-626943.5643,
0.707,716978.7813,-626061.5635,
0.708,717040.9678,-625134.5413,
0.709,717171.8009,-624137.2927,
0.71,717339.4622,-623055.1157,
